start,location,tod,setting
2375.48,VIETNAM ROAD,DAY,EXT
2421.24,VIETNAM FIELD,DAY,EXT
2488.68,VIETNAM RICE FIELD,DAY,EXT
2499.32,VIETNAM JUNGLE,DAY,EXT
2505.24,VIETNAM JUNGLE,DAY,EXT
2509.04,VIETNAM JUNGLE,DAY,EXT
2511.76,VIETNAM JUNGLE,DAY,EXT
2516.84,VIETNAM CAMP,NIGHT,EXT
2583.08,VIETNAM CAMP,NIGHT,EXT
2600.92,GRANDMA'S TRAILER,DAY,EXT
2611.68,VIETNAM CAMP,NIGHT,EXT
2618.84,VIETNAM JUNGLE,DAY,EXT
3059.88,SAVANNAH,DAY,EXT
3094.04,MILITARY HOSPITAL,DAY,INT
3171.32,MILITARY HOSPITAL,DAY,INT
3251.88,MILITARY HOSPITAL,DAY,INT
3267.84,MILITARY HOSPITAL,DAY,INT
3294.12,PURPLE HEART (BROADCAST),DAY,INT
3297.68,BARBERSHOP,DAY,INT
3305.84,PURPLE HEART (BROADCAST),DAY,INT
3323.68,BARBERSHOP,DAY,INT
3328.76,PURPLE HEART (BROADCAST),DAY,INT
3334.72,WASHINGTON D.C.,DAY,EXT
3578.48,WASHINGTON D.C.,NIGHT,EXT
3587.2,BLACK PANTHER HQ,NIGHT,INT
3700.68,WASHINGTON D.C.,NIGHT,EXT
3752.2,FLASHBACK HIGHWAY,DAY,EXT
3756.84,CAMPFIRE,NIGHT,EXT
3764.04,HOLLYWOOD,DAY,EXT
3777.8,WASHINGTON D.C.,DAWN,EXT
3911.88,VETERANS HOSPITAL,DAY,INT
3938.48,SAVANNAH,DAY,EXT
3941.56,PING PONG TOURNAMENT IN CHINA,DAY,INT
3958.12,SAVANNAH,DAY,EXT
3962.96,TV SHOW,DAY,INT
4020.68,OUTSIDE THE TV STUDIO,DAY,EXT
4078.56,NEW YORK,NIGHT,EXT
4112.12,DAN'S HOTEL ROOM,NIGHT,INT
4213.24,NEW YORK BAR,NIGHT,INT
4310.16,APPARTMENT IN CALIFORNIA,NIGHT,INT
4342.96,NEW YORK BAR,NIGHT,INT
4374.32,WHITE HOUSE,DAY,EXT
4378.92,SAVANNAH,DAY,EXT
4391.2,WHITE HOUSE,DAY,INT
4408.6,WATERGATE HOTEL,NIGHT,INT
4431.48,GYMNASIUM,DAY,INT
4488.0,GUMP HOUSE,DAY,INT
4544.4,BAYOU LA BATRE / BUBBA'S HOME,DAY,EXT
4563.48,BUBBA'S GRAVE,DAY,EXT
4588.68,BAYOU LA BATRE,DAY,EXT
4604.76,BUBBA'S GRAVE,DAY,EXT
4629.16,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
4658.96,BAYOU LA BATRE,DAY,EXT
4689.12,DISCO,NIGHT,INT
4708.44,BAYOU LA BATRE,DAY,EXT
4713.88,APARTMENT / BEDROOM,NIGHT,INT
4737.28,APARTMENT / BATHROOM,NIGHT,INT
4741.92,APARTMENT / BALCONY,NIGHT,EXT
4800.64,BAYOU LA BATRE / ON THE BOAT,NIGHT,EXT
4818.84,BAYOU LA BATRE,DAY,EXT
4917.04,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
4973.64,CHURCH,DAY,INT
4989.24,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
5014.52,BAYOU LA BATRE / ON THE BOAT,NIGHT,EXT
5064.64,GUMP HOUSE,DAY,INT
5066.68,BAYOU LA BATRE,DAY,EXT
5074.28,GUMP HOUSE,DAY,INT
5090.16,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
5099.76,SAVANNAH,DAY,EXT
5166.84,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
5207.96,SAVANNAH,DAY,EXT
5237.88,FOOTBALL FIELD,DAY,EXT
5242.44,GUMP MAILBOXES,DAY,EXT
5253.12,SAVANNAH,DAY,EXT
5257.4,CHURCH,DAY,INT
5263.24,CHURCH,DAY,EXT
5272.64,BAYOU LA BATRE / HOSPITAL,DAY,EXT
5278.88,BAYOU LA BATRE / BUBBA'S HOME,DAY,EXT
5290.48,SAVANNAH,DAY,EXT
5292.16,FINE HOUSE,DAY,INT
5298.56,FOOTBALL FIELD,DAY,EXT
5307.32,GUMP HOUSE / BALCONY,NIGHT,EXT
5349.2,GUMP HOUSE,DAY,EXT
5430.0,GUMP HOUSE,NIGHT,INT
5445.92,FIELD,DAY,EXT
5463.84,TREE ON A FIELD,DAY,EXT
5474.12,GUMP HOUSE,DAY,INT
5481.48,GUMP HOUSE,DAY,EXT
5488.76,GUMP HOUSE,NIGHT,EXT
5508.12,RIVERSIDE,NIGHT,EXT
5520.56,GUMP HOUSE,NIGHT,INT
5605.12,GUMP HOUSE,NIGHT,EXT
5609.12,GUMP HOUSE,NIGHT,EXT
5662.72,GUMP HOUSE,DAY,EXT
5689.48,GUMP HOUSE,DAY,INT
5737.08,GUMP HOUSE PORCH,DAY,EXT
5786.0,BARBERSHOP,DAY,INT
5790.6,ROAD IN ALABMA,DAY,EXT
5804.52,SAVANNAH,DAY,EXT
5810.88,PIER,DAY,EXT
5841.68,SAVANNAH,DAY,EXT
5853.64,HIGHWAY,DAY,EXT
5900.44,BARBERSHOP,DAY,EXT
5909.0,CAFE,DAY,INT
5922.44,BRIDGE AT MISSISIPI RIVER,DAY,EXT
5939.08,SAVANNAH,DAY,EXT
5940.72,STREET WITH HOUSES IN THE BACKGROUND,DAY,EXT
5945.16,SAVANNAH,DAY,EXT
5950.52,STREET WITH HOUSES IN THE BACKGROUND,DAY,EXT
5973.44,SAVANNAH,DAY,EXT
5980.24,CITY STREET,DAY,EXT
6015.44,TRUCK STOP,DAY,EXT
6045.76,DESERT VALLEY,DAY,EXT
6134.8,GUMP HOUSE,DAY,INT
6153.76,SAVANNAH,DAY,EXT
6200.2,JENNY'S APPARTMENT,DAY,INT
6418.16,PARK,DAY,EXT
6474.16,GUMP HOUSE,DAY,EXT
6613.76,GUMP HOUSE,DAY,INT
6658.88,VIETNAM,NIGHT,EXT
6670.48,GUMP HOUSE,DAY,INT
6676.36,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
6684.76,MOUNTAIN LAKE,DAY,EXT
6693.08,GUMP HOUSE,DAY,INT
6696.36,DESERT VALLEY,DAY,EXT
6709.08,GUMP HOUSE,DAY,INT
6739.28,JENNY'S GRAVE,DAY,EXT
6754.76,OUTSIDE JENNY'S HOUSE,DAY,EXT
6760.0,JENNY'S GRAVE,DAY,EXT
6778.36,GUMP HOUSE,NIGHT,INT
6786.88,JENNY'S GRAVE,DAY,EXT
6800.64,GUMP HOUSE,NIGHT,EXT
6807.36,RIVERSIDE,DAY,EXT
6813.68,JENNY'S GRAVE,DAY,EXT
6944.96,SCHOOL BUS STOP,DAY,EXT
