onset	duration	text	kommentar	loc_besch	w_class	function	grammar
297.323	0.2	Forrest		mname	NE		
297.523	0.3	die			ART		
297.823	0.4	Hände		bodypart	NN		
298.223	1.3	und			KON		
299.523	0.3	schließt			VVFIN		
299.823	0.3	Jenny		fname	NE		
300.123	0.1	in			APPR		
300.223	0.2	seine			PPOSAT		
300.423	0.2	Arme		bodypart	NN		
307.523	1.5	durch			APPR		
309.023	0.2	eine			ART		
309.223	0.5	Gardine		roomgeo	NN		
309.723	0.2	fällt			VVFIN		
309.923	0.1	der			ART		
310.023	0.2	Blick			NN		
310.223	0.2	auf			APPR		
310.423	0.1	das			ART		
310.523	0.2	Bett		furniture	NN		
310.723	0.7	Jenny		fname	NE		
311.423	0.4	zieht			VVFIN		
311.823	0.1	ihr			PPOSAT		
311.923	0.3	Nachthemd		body	NN		
312.223	0.3	aus			PTKVZ		
312.523	1.7	Forrest		mname	NE		
314.223	0.4	umarmt			VVFIN		
314.623	0.1	sie			PPER		
314.723	0.3	wieder			ADV		
315.023	0.3	die			ART		
315.323	0.1	beiden			PIS		
315.423	0.4	küssen			VVFIN		
315.823	0.2	sich			PRF		
316.023	0.3	weiter			PTKVZ		
319.323	0.5	es			PPER		
319.823	0.2	ist			VAFIN		
320.023	0.1	hell		++	ADJD		
320.123	1.5	vor			APPR		
321.623	0.2	dem			ART		
321.823	0.2	Haus		geo	NN		
322.023	2.4	in			APPR		
324.423	0.3	Rock		body	NN		
324.723	0.2	und			KON		
324.923	0.2	Bluse		body	NN		
325.123	0.4	kommt			VVFIN		
325.523	0.2	Jenny		fname	NE		
325.723	0.2	mit			APPR		
325.923	0.1	ihrer			PPOSAT		
326.023	0.7	Umhängetasche		object	NN		
326.723	0.1	auf			APPR		
326.823	0.2	die			ART		
327.023	0.4	Veranda		roomgeo	NN		
327.423	0.7	sie			PPER		
328.123	0.3	eilt			VVFIN		
328.423	0.2	über			APPR		
328.623	0.1	den			ART		
328.723	0.3	Rasen		roomgeo	NN		
329.023	0.2	zu			APPR		
329.223	0.1	einem			ART		
329.323	0.3	Taxi		object	NN		
334.623	0.4	der			ART		
335.023	0.3	Fahrer		male	NN		
335.323	0.3	hält			VVFIN		
335.623	0.1	ihr			PPER		
335.723	0.1	die			ART		
