onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
282.200	0.400	geschnallt				VVPP		
282.600	0.200	sind				VAFIN		
282.800	0.700	der				ART		
283.500	0.200	Dicke				ADJA		
283.700	0.300	Arzt		male		NN		
284.000	0.200	hebt				VVFIN		
284.200	0.100	ihn				PPER		
284.300	0.300	runter				PTKVZ		
287.300	1.500	mit				APPR		
288.800	0.400	steifen				ADJA		
289.200	0.300	Knien		bodypart		NN		
289.500	0.200	stakst				VVFIN		
289.700	0.300	der				ART		
290.000	0.200	Junge		male		NN		
290.200	0.200	an				APPR		
290.400	0.200	einer				ART		
290.600	0.700	Dunkelhaarigen		female		NN		
291.300	0.300	vorbei				ADV		
291.600	0.200	die				ART		
291.800	0.100	auf				APPR		
291.900	0.200	einem				ART		
292.100	0.200	Stuhl		furniture		NN		
292.300	0.300	sitzt				VVFIN		
292.600	3.200	der				ART		
295.800	0.400	Arzt		male		NN		
296.200	0.100	hat				VAFIN		
296.300	0.200	eine				ART		
296.500	0.200	brennende				ADJA		
296.700	0.100	Zigarette		object		NN		
296.800	0.600	im				APPRART		
297.400	0.300	Mundwinkel		face		NN		
297.700	13.200	der				PDS		
310.900	0.900	kippt				VVFIN		
311.800	0.200	um				PTKVZ		
312.000	9.800	ein				ART		
321.800	0.300	alter				ADJA		
322.100	0.200	Film		setting_new		NN		
322.300	0.200	vom				APPRART		
322.500	0.200	General		male		NN		
322.700	0.300	der				ART		
323.000	0.400	aussieht				VVFIN		
323.400	0.000	wie				KOKOM		
323.400	0.200	Forrest		mname		NN		
347.300	3.400	auf				APPR		
350.700	0.300	einer				ART		
351.000	0.100	Straße		setting_new;geo		NN		
351.100	0.500	an				APPR		
351.600	0.200	der				ART		
351.800	0.100	Hand		bodypart		NN		
351.900	0.200	seiner				PPOSAT		
352.100	0.300	Mutter		female		NN		
352.400	0.300	bleibt				VVFIN		
352.700	0.100	der				ART		
352.800	0.100	kleine				ADJA		
352.900	0.600	Forrest		mname		NN		
353.500	0.100	mit				APPR		
353.600	0.300	einer				ART		
353.900	0.300	Schiene		object		NN		
354.200	0.100	in				APPR		
354.300	0.300	einem				ART		
354.600	0.400	Gully-Gitter		object		NN		
355.000	0.300	stecken				VVINF		
355.300	8.500	zu				APPR		
363.800	0.200	zwei				CARD		
364.000	0.300	Männern		males		NN		
364.300	0.200	vor				APPR		
364.500	0.100	einem				ART		
364.600	0.400	Friseurladen		geo		NN		
372.900	43.900	sie				PPER		
416.800	0.300	steuern				VVFIN		
417.100	0.100	aufs				APPRART		
417.200	0.300	Haus		geo		NN		
