onset	duration	major_location	setting	locale	int_or_ext	flow_of_time	time_of_day
0.000	17.000	Paramount	mountain logo	mountain logo	ext	0	day
17.000	151.080	Savannah	sky over Savannah	sky over Savannah	ext	++	day
168.080	104.120	Savannah	bench at bus stop	bench at bus stop	ext	0	day
272.200	14.120	Greenbow Alabama	doctor's office	doctor's office	int	-	day
286.320	14.240	Greenbow Alabama	doctor's office	doctor's office	int	0	day
300.560	11.400	Greenbow Alabama	doctor's office	doctor's office	int	0	day
311.960	6.320	Greenbow Alabama	main street	crossroads	ext	+	day
318.280	24.760	United States	flashback countryside	flashback countryside	ext	-	day
343.040	10.040	Greenbow Alabama	main street	in front of barbershop	ext	++	day
353.080	5.000	Greenbow Alabama	main street	in front of barbershop	ext	0	day
358.080	1.960	Greenbow Alabama	main street	in front of barbershop	ext	0	day
360.040	1.800	Greenbow Alabama	main street	in front of barbershop	ext	0	day
361.840	1.200	Greenbow Alabama	main street	in front of barbershop	ext	0	day
363.040	22.600	Greenbow Alabama	main street	in front of barbershop	ext	0	day
385.640	17.160	Gump property	access-road	at the mail boxes	ext	+	day
402.800	22.800	Gump property	access-road	alley to Gump House	ext	+	day
425.600	8.880	Gump property	Gump House	front of Gump House	ext	0	day
434.480	4.080	Greenbow Alabama	school	Hancock's office	int	++	day
438.560	4.880	Greenbow Alabama	school	Hancock's office	int	0	day
443.440	4.320	Greenbow Alabama	school	Hancock's office	int	0	day
447.760	14.680	Greenbow Alabama	school	school hallway	int	0	day
462.440	4.400	Greenbow Alabama	school	Hancock's office	int	0	day
466.840	4.520	Greenbow Alabama	school	Hancock's office	int	0	day
471.360	4.160	Greenbow Alabama	school	Hancock's office	int	0	day
475.520	17.160	Greenbow Alabama	school	Hancock's office	int	0	day
492.680	3.400	Greenbow Alabama	school	Hancock's office	int	0	day
496.080	4.080	Greenbow Alabama	school	Hancock's office	int	0	day
500.160	7.520	Greenbow Alabama	school	school hallway	int	0	day
507.680	4.640	Greenbow Alabama	school	Hancock's office	int	0	day
512.320	4.560	Greenbow Alabama	school	Hancock's office	int	0	day
516.880	5.360	Gump property	Gump House	front of Gump House	ext	++	night
522.240	4.520	Gump property	Gump House	front of Gump House	ext	0	night
526.760	28.960	Gump property	Gump House	front of Gump House	ext	+	night
555.720	30.760	Gump property	Gump House	Forrest's bedroom	int	+	night
586.480	8.360	Gump property	Gump House	front of Gump House	ext	++	day
594.840	17.240	Gump property	Gump House	corridor downstairs	int	0	day
612.080	18.320	Gump property	Gump House	corridor upstairs	int	+	day
630.400	2.080	Gump property	Gump House	Jenny's bedroom	int	0	day
632.480	1.160	Gump property	Gump House	Jenny's bedroom	int	0	day
633.640	2.720	Gump property	Gump House	Jenny's bedroom	int	0	day
636.360	20.520	Gump property	Gump House	Jenny's bedroom	int	0	day
656.880	2.560	Gump property	Gump House	Jenny's bedroom	int	0	day
659.440	10.120	Gump property	Gump House	Jenny's bedroom	int	0	day
669.560	5.440	Greenbow Alabama	main street	in front of electronic store	ext	++	night
675.000	4.800	Greenbow Alabama	main street	in front of electronic store	ext	0	night
679.800	1.760	Greenbow Alabama	main street	in front of electronic store	ext	0	night
681.560	4.640	Greenbow Alabama	main street	in front of electronic store	ext	0	night
686.200	6.320	Greenbow Alabama	main street	in front of electronic store	ext	0	night
692.520	10.040	Greenbow Alabama	main street	in front of electronic store	ext	0	night
702.560	10.120	Savannah	bench at bus stop	bench at bus stop	ext	++	day
712.680	8.680	Gump property	access-road	at the mail boxes	ext	-	day
721.360	6.080	Gump property	access-road	at the mail boxes	ext	0	day
727.440	2.640	Gump property	access-road	at the mail boxes	ext	0	day
730.080	2.800	Gump property	access-road	at the mail boxes	ext	0	day
732.880	5.560	Gump property	access-road	at the mail boxes	ext	0	day
738.440	2.240	Gump property	access-road	at the mail boxes	ext	0	day
740.680	2.400	Gump property	access-road	at the mail boxes	ext	0	day
743.080	2.080	Gump property	access-road	at the mail boxes	ext	0	day
745.160	7.080	Gump property	access-road	at the mail boxes	ext	0	day
752.240	3.000	Greenbow Alabama	school bus	inside driving bus	int	0	day
755.240	2.640	Greenbow Alabama	school bus	inside driving bus	int	0	day
757.880	1.440	Greenbow Alabama	school bus	inside driving bus	int	0	day
759.320	1.320	Greenbow Alabama	school bus	inside driving bus	int	0	day
760.640	1.000	Greenbow Alabama	school bus	inside driving bus	int	0	day
761.640	8.600	Greenbow Alabama	school bus	inside driving bus	int	0	day
770.240	1.040	Greenbow Alabama	school bus	inside driving bus	int	0	day
771.280	7.240	Greenbow Alabama	school bus	inside driving bus	int	0	day
778.520	12.520	Savannah	bench at bus stop	bench at bus stop	ext	++	day
791.040	8.520	Greenbow Alabama	school bus	inside driving bus	int	-	day
799.560	2.200	Greenbow Alabama	school bus	inside driving bus	int	0	day
801.760	4.520	Greenbow Alabama	school bus	inside driving bus	int	0	day
806.280	1.720	Greenbow Alabama	school bus	inside driving bus	int	0	day
808.000	5.440	Greenbow Alabama	school bus	inside driving bus	int	0	day
813.440	15.880	Greenbow Alabama	school bus	inside driving bus	int	0	day
829.320	4.160	Greenbow Alabama	school bus	inside driving bus	int	0	day
833.480	3.480	Greenbow Alabama	school bus	inside driving bus	int	0	day
836.960	2.920	Greenbow Alabama	school bus	inside driving bus	int	0	day
839.880	7.440	Greenbow Alabama	school bus	inside driving bus	int	0	day
847.320	4.800	Greenbow Alabama	tree on a field	tree on a field	ext	++	day
852.120	5.080	Greenbow Alabama	tree on a field	tree on a field	ext	+	day
857.200	3.960	Greenbow Alabama	tree on a field	tree on a field	ext	++	day
861.160	4.040	Greenbow Alabama	tree on a field	tree on a field	ext	+	day
865.200	7.120	Greenbow Alabama	tree on a field	tree on a field	ext	++	day
872.320	13.760	Greenbow Alabama	tree on a field	tree on a field	ext	0	day
886.080	5.080	Savannah	bench at bus stop	bench at bus stop	ext	++	day
891.160	8.640	Savannah	bench at bus stop	bench at bus stop	ext	0	day
899.800	2.000	Gump property	access-road	alley to Gump House	ext	-	day
901.800	1.160	Gump property	access-road	alley to Gump House	ext	0	day
902.960	1.920	Gump property	access-road	alley to Gump House	ext	0	day
904.880	1.120	Gump property	access-road	alley to Gump House	ext	0	day
906.000	1.960	Gump property	access-road	alley to Gump House	ext	0	day
907.960	1.080	Gump property	access-road	alley to Gump House	ext	0	day
909.040	1.440	Gump property	access-road	alley to Gump House	ext	0	day
910.480	0.800	Gump property	access-road	alley to Gump House	ext	0	day
911.280	1.440	Gump property	access-road	alley to Gump House	ext	0	day
912.720	2.080	Gump property	access-road	alley to Gump House	ext	0	day
914.800	1.600	Gump property	access-road	alley to Gump House	ext	0	day
916.400	3.560	Gump property	access-road	alley to Gump House	ext	0	day
919.960	4.920	Gump property	access-road	alley to Gump House	ext	0	day
924.880	3.280	Gump property	access-road	alley to Gump House	ext	0	day
928.160	3.000	Gump property	access-road	alley to Gump House	ext	0	day
931.160	1.400	Gump property	access-road	alley to Gump House	ext	0	day
932.560	1.360	Gump property	access-road	alley to Gump House	ext	0	day
933.920	1.640	Gump property	access-road	alley to Gump House	ext	0	day
935.560	1.760	Gump property	access-road	alley to Gump House	ext	0	day
937.320	6.000	Gump property	access-road	alley to Gump House	ext	0	day
943.320	2.320	Gump property	access-road	alley to Gump House	ext	0	day
945.640	2.520	Gump property	access-road	alley to Gump House	ext	0	day
948.160	2.920	Gump property	access-road	alley to Gump House	ext	0	day
951.080	2.760	Gump property	access-road	alley to Gump House	ext	0	day
953.840	5.760	Gump property	access-road	alley to Gump House	ext	0	day
959.600	1.840	Gump property	access-road	alley to Gump House	ext	0	day
961.440	1.800	Gump property	access-road	alley to Gump House	ext	0	day
963.240	1.640	Gump property	access-road	alley to Gump House	ext	0	day
964.880	3.840	Gump property	access-road	alley to Gump House	ext	0	day
968.720	3.840	Gump property	access-road	alley to Gump House	ext	0	day
972.560	2.520	Gump property	access-road	alley to Gump House	ext	0	day
975.080	4.920	Gump property	access-road	alley to Gump House	ext	0	day
980.000	3.280	Savannah	bench at bus stop	bench at bus stop	ext	++	day
983.280	1.600	Savannah	bench at bus stop	bench at bus stop	ext	0	day
984.880	6.360	Savannah	bench at bus stop	bench at bus stop	ext	0	day
991.240	9.360	Gump property	access-road	alley to Gump House	ext	-	day
1000.600	8.360	Gump property	access-road	meadow near Gump House	ext	0	day
1008.960	6.520	Greenbow Alabama	road with bridge	road with bridge	ext	+	day
1015.480	3.240	Greenbow Alabama	road between trees	road between trees	ext	+	day
1018.720	8.040	Greenbow Alabama	main street	in front of barbershop	ext	+	day
1026.760	13.520	Greenbow Alabama	Jenny's house	front of Jenny's house	ext	+	day
1040.280	20.920	Greenbow Alabama	Jenny's house	front of Jenny's house	ext	0	day
1061.200	11.720	Greenbow Alabama	Jenny's house	front of Jenny's house	ext	0	day
1072.920	2.040	Greenbow Alabama	Jenny's house	field near Jenny's house	ext	0	day
1074.960	3.680	Greenbow Alabama	Jenny's house	field near Jenny's house	ext	0	day
1078.640	4.680	Greenbow Alabama	Jenny's house	field near Jenny's house	ext	0	day
1083.320	1.400	Greenbow Alabama	Jenny's house	field near Jenny's house	ext	0	day
1084.720	2.120	Greenbow Alabama	Jenny's house	field near Jenny's house	ext	0	day
1086.840	7.840	Greenbow Alabama	Jenny's house	field near Jenny's house	ext	0	day
1094.680	15.600	Greenbow Alabama	Jenny's house	field near Jenny's house	ext	0	day
1110.280	13.600	Greenbow Alabama	Jenny's grandma's trailer	Jenny's grandma's trailer	ext	++	day
1123.880	11.920	Gump property	Gump House	front of Gump House	ext	++	night
1135.800	8.600	Gump property	Gump House	Forrest's bedroom	int	+	night
1144.400	4.960	Gump property	access-road	alley to Gump House	ext	++	day
1149.360	0.840	Gump property	access-road	alley to Gump House	ext	0	day
1150.200	2.840	Gump property	access-road	alley to Gump House	ext	0	day
1153.040	1.320	Gump property	access-road	alley to Gump House	ext	0	day
1154.360	0.720	Gump property	access-road	alley to Gump House	ext	0	day
1155.080	2.280	Gump property	access-road	alley to Gump House	ext	0	day
1157.360	3.280	Gump property	access-road	alley to Gump House	ext	0	day
1160.640	1.360	Gump property	access-road	alley to Gump House	ext	0	day
1162.000	1.160	Gump property	access-road	alley to Gump House	ext	0	day
1163.160	0.920	Gump property	access-road	alley to Gump House	ext	0	day
1164.080	0.960	Gump property	access-road	alley to Gump House	ext	0	day
1165.040	1.320	Gump property	access-road	alley to Gump House	ext	0	day
1166.360	1.280	Gump property	access-road	alley to Gump House	ext	0	day
1167.640	2.160	Gump property	access-road	alley to Gump House	ext	0	day
1169.800	1.840	Gump property	access-road	alley to Gump House	ext	0	day
1171.640	1.360	Gump property	access-road	inside the pursuing car	int	0	day
1173.000	1.440	Gump property	access-road	alley to Gump House	ext	0	day
1174.440	1.040	Gump property	access-road	alley to Gump House	ext	0	day
1175.480	2.320	Gump property	access-road	alley to Gump House	ext	0	day
1177.800	0.880	Gump property	access-road	alley to Gump House	ext	0	day
1178.680	1.720	Gump property	access-road	alley to Gump House	ext	0	day
1180.400	9.160	Gump property	access-road	alley to Gump House	ext	0	day
1189.560	2.560	Gump property	access-road	alley to Gump House	ext	0	day
1192.120	1.880	Gump property	access-road	meadow near Gump House	ext	0	day
1194.000	7.800	Savannah	bench at bus stop	bench at bus stop	ext	++	day
1201.800	8.960	Greenbow Alabama	football field	road next to football field	ext	-	day
1210.760	7.480	Greenbow Alabama	football field	road next to football field	ext	0	day
1218.240	0.880	Greenbow Alabama	football field	stands	ext	0	day
1219.120	0.840	Greenbow Alabama	football field	on the football field	ext	0	day
1219.960	2.520	Greenbow Alabama	football field	stands	ext	0	day
1222.480	4.200	Greenbow Alabama	football field	on the football field	ext	0	day
1226.680	4.440	Greenbow Alabama	football field	stands	ext	0	day
1231.120	1.720	Greenbow Alabama	football field	stands	ext	0	day
1232.840	3.040	Greenbow Alabama	football field	stands	ext	0	day
1235.880	5.160	Greenbow Alabama	football field	on the football field	ext	0	day
1241.040	0.880	University of Alabama	football stadium	football field in stadium	ext	++	day
1241.920	2.920	University of Alabama	football stadium	stands	ext	0	day
1244.840	6.000	University of Alabama	football stadium	football field in stadium	ext	0	day
1250.840	2.880	University of Alabama	football stadium	technical area	ext	0	day
1253.720	4.680	University of Alabama	football stadium	football field in stadium	ext	0	day
1258.400	2.880	University of Alabama	football stadium	football field in stadium	ext	0	day
1261.280	4.600	University of Alabama	football stadium	stands	ext	0	day
1265.880	2.960	University of Alabama	football stadium	technical area	ext	0	day
1268.840	1.920	University of Alabama	football stadium	football field in stadium	ext	0	day
1270.760	2.760	University of Alabama	football stadium	football field in stadium	ext	0	day
1273.520	3.560	University of Alabama	football stadium	football field in stadium	ext	0	day
1277.080	2.200	University of Alabama	football stadium	football field in stadium	ext	0	day
1279.280	5.000	University of Alabama	football stadium	end zone	ext	0	day
1284.280	8.280	University of Alabama	football stadium	technical area	ext	0	day
1292.560	5.280	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	++	night
1297.840	2.800	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	0	night
1300.640	2.240	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	0	night
1302.880	3.360	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	0	night
1306.240	4.560	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	0	night
1310.800	3.640	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	0	night
1314.440	5.400	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	0	night
1319.840	3.360	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	0	night
1323.200	0.960	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	0	night
1324.160	5.400	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	0	night
1329.560	55.240	University of Alabama	Margaret Mitchell Hall	Margaret Mitchell Hall	ext	0	night
1384.800	12.920	University of Alabama	girl's dormitory	corrridor	int	+	night
1397.720	42.360	University of Alabama	girl's dormitory	Jenny's room	int	+	night
1440.080	6.840	University of Alabama	girl's dormitory	Jenny's room	int	0	night
1446.920	5.680	University of Alabama	girl's dormitory	Jenny's room	int	0	night
1452.600	5.160	University of Alabama	girl's dormitory	Jenny's room	int	0	night
1457.760	24.840	University of Alabama	girl's dormitory	Jenny's room	int	0	night
1482.600	9.360	University of Alabama	girl's dormitory	Jenny's room	int	0	night
1491.960	23.480	University of Alabama	girl's dormitory	Jenny's room	int	0	night
1515.440	9.840	University of Alabama	girl's dormitory	Jenny's room	int	0	night
1525.280	3.320	University of Alabama	football stadium	stands	ext	++	day
1528.600	3.360	University of Alabama	football stadium	football field in stadium	ext	0	day
1531.960	1.360	University of Alabama	football stadium	end zone	ext	0	day
1533.320	1.360	University of Alabama	football stadium	football field in stadium	ext	0	day
1534.680	5.480	University of Alabama	football stadium	end zone	ext	0	day
1540.160	5.040	University of Alabama	football stadium	end zone	ext	0	day
1545.200	4.400	Washington D.C.	White House	front of White House (broadcast)	ext	++	day
1549.600	6.800	Washington D.C.	White House	unknown_1 (broadcast)	int	0	day
1556.400	19.840	Washington D.C.	White House	room with buffet	int	+	day
1576.240	3.800	Washington D.C.	White House	room with buffet	int	+	day
1580.040	8.360	Washington D.C.	White House	Oval Office (broadcast)	int	+	day
1588.400	5.920	Washington D.C.	White House	Oval Office (broadcast)	int	0	day
1594.320	4.880	Washington D.C.	White House	Oval Office (broadcast)	int	0	day
1599.200	19.880	Washington D.C.	White House	president's bathroom	int	+	day
1619.080	4.200	Dallas	downtown Dallas	Dealey Plaza (broadcast)	ext	++	day
1623.280	4.720	Los Angeles	Ambassador Hotel	ballroom (broadcast)	int	++	day
1628.000	6.120	Savannah	bench at bus stop	bench at bus stop	ext	++	day
1634.120	9.280	University of Alabama	college graduation	stage and audience	ext	-	day
1643.400	2.120	University of Alabama	college graduation	stage and audience	ext	0	day
1645.520	13.000	University of Alabama	college graduation	in front of statue	ext	+	day
1658.520	2.640	University of Alabama	college graduation	in front of statue	ext	0	day
1661.160	6.320	United States	army bus	inside army bus	int	++	day
1667.480	14.360	United States	army bus	inside army bus	int	0	day
1681.840	1.920	United States	army bus	inside army bus	int	0	day
1683.760	2.040	United States	army bus	inside army bus	int	0	day
1685.800	4.320	United States	army bus	inside army bus	int	0	day
1690.120	2.360	United States	army bus	inside army bus	int	0	day
1692.480	42.960	United States	army bus	inside army bus	int	0	day
1735.440	4.080	Bayou La Batre	fine house	fine house's dining room	int	-	day
1739.520	5.280	Bayou La Batre	fine house	fine house's dining room	int	-	day
1744.800	14.320	United States	army bus	inside army bus	int	++	day
1759.120	37.280	United States	barracks	dormitory	int	++	day
1796.400	49.120	United States	barracks	dormitory	int	++	day
1845.520	10.840	United States	barracks	dormitory	int	++	day
1856.360	15.440	United States	barracks	dormitory	int	++	day
1871.800	4.800	United States	barracks	dormitory	int	++	night
1876.600	21.800	United States	barracks	dormitory	int	0	night
1898.400	3.280	United States	barracks	dormitory	int	0	night
1901.680	5.640	United States	barracks	dormitory	int	0	night
1907.320	8.480	United States	barracks	dormitory	int	0	night
1915.800	35.640	Memphis	night club	inside the night club	int	++	night
1951.440	1.120	Memphis	night club	inside the night club	int	0	night
1952.560	14.200	Memphis	night club	inside the night club	int	0	night
1966.760	11.680	Memphis	night club	inside the night club	int	0	night
1978.440	6.040	Memphis	night club	inside the night club	int	0	night
1984.480	5.840	Memphis	night club	inside the night club	int	0	night
1990.320	3.160	Memphis	night club	inside the night club	int	0	night
1993.480	5.320	Memphis	night club	inside the night club	int	0	night
1998.800	2.640	Memphis	night club	inside the night club	int	0	night
2001.440	1.440	Memphis	night club	inside the night club	int	0	night
2002.880	1.920	Memphis	night club	inside the night club	int	0	night
2004.800	0.640	Memphis	night club	inside the night club	int	0	night
2005.440	8.200	Memphis	night club	inside the night club	int	0	night
2013.640	3.520	Memphis	night club	inside the night club	int	0	night
2017.160	3.120	Memphis	night club	inside the night club	int	0	night
2020.280	4.720	Memphis	night club	inside the night club	int	0	night
2025.000	3.960	Memphis	night club	inside the night club	int	0	night
2028.960	9.000	Memphis	bridge near club	bridge near club	ext	+	night
2037.960	3.920	Memphis	bridge near club	bridge near club	ext	0	night
2041.880	3.440	Memphis	bridge near club	bridge near club	ext	0	night
2045.320	4.200	Memphis	bridge near club	bridge near club	ext	0	night
2049.520	23.720	Memphis	bridge near club	bridge near club	ext	0	night
2073.240	9.880	Memphis	bridge near club	bridge near club	ext	0	night
2083.120	6.480	Memphis	bridge near club	bridge near club	ext	0	night
2089.600	13.680	Memphis	bridge near club	bridge near club	ext	0	night
2103.280	2.400	Memphis	bridge near club	bridge near club	ext	0	night
2105.680	1.600	Memphis	bridge near club	bridge near club	ext	0	night
2107.280	4.080	Memphis	bridge near club	bridge near club	ext	0	night
2111.360	1.560	Memphis	bridge near club	bridge near club	ext	0	night
2112.920	2.800	Memphis	bridge near club	bridge near club	ext	0	night
2115.720	11.680	Memphis	bridge near club	bridge near club	ext	0	night
2127.400	4.240	Memphis	bridge near club	bridge near club	ext	0	night
2131.640	4.000	Memphis	bridge near club	bridge near club	ext	0	night
2135.640	1.480	Memphis	bridge near club	bridge near club	ext	0	night
2137.120	1.400	Memphis	bridge near club	bridge near club	ext	0	night
2138.520	3.840	Memphis	bridge near club	bridge near club	ext	0	night
2142.360	3.760	Memphis	bridge near club	bridge near club	ext	0	night
2146.120	1.520	Memphis	bridge near club	bridge near club	ext	0	night
2147.640	2.960	Memphis	bridge near club	bridge near club	ext	0	night
2150.600	15.880	Vietnam	Military Base	helicopter	ext	++	day
2166.480	26.680	Vietnam	Military Base	helicopter	ext	+	day
2193.160	24.520	Vietnam	Military Base	barbecue near river	ext	0	day
2217.680	39.160	Vietnam	Military Base	at Dan's tent	ext	0	day
2256.840	4.640	Vietnam	Military Base	at Dan's tent	ext	0	day
2261.480	4.560	Vietnam	Military Base	at Dan's tent	ext	0	day
2266.040	13.240	Vietnam	Military Base	at Dan's tent	ext	0	day
2279.280	2.000	Vietnam	Military Base	at Dan's tent	ext	0	day
2281.280	5.440	Vietnam	Military Base	at Dan's tent	ext	0	day
2286.720	19.760	Vietnam	Military Base	at Dan's tent	ext	0	day
2306.480	2.480	Vietnam	Military Base	at Dan's tent	ext	0	day
2308.960	1.480	United States	battlefield in Revolutionary War	battlefield in Revolutionary War	ext	-	day
2310.440	1.600	United States	battlefield in American Zivil War	battlefield in American Zivil War	ext	++	day
2312.040	1.160	Europe	battlefield in World War 1	battlefield in World War 1	ext	++	day
2313.200	2.080	Europe	battlefield in World War 2	battlefield in World War 2	ext	++	day
2315.280	44.280	Vietnam	Military Base	at Dan's tent	ext	++	day
2359.560	8.320	Vietnam	rice field in front of mountains	rice field in front of mountains	ext	++	day
2367.880	7.480	Vietnam	rice field in front of mountains	rice field in front of mountains	ext	0	day
2375.360	11.360	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	++	day
2386.720	9.960	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2396.680	2.040	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2398.720	7.160	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2405.880	15.280	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2421.160	1.880	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2423.040	8.040	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2431.080	3.200	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2434.280	7.000	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2441.280	1.600	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2442.880	3.040	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2445.920	1.520	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2447.440	1.600	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2449.040	2.160	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2451.200	4.120	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2455.320	5.680	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2461.000	2.840	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2463.840	13.040	Vietnam	road betweeen rice fields	road betweeen rice fields	ext	0	day
2476.880	11.720	Vietnam	field with NLF tunnel	field with NLF tunnel	ext	++	day
2488.600	10.600	Vietnam	flooded rice field	flooded rice field	ext	++	day
2499.200	5.960	Vietnam	foxhole in jungle	foxhole in jungle	ext	++	day
2505.160	3.800	Vietnam	random rainy jungle	random rainy jungle	ext	++	day
2508.960	2.720	Vietnam	rainy field	rainy field	ext	++	day
2511.680	5.040	Vietnam	flooded jungle	flooded jungle	ext	++	day
2516.720	66.280	Vietnam	rain-swept camp	rain-swept camp	ext	++	night
2583.000	17.840	Vietnam	rain-swept camp	rain-swept camp	ext	+	night
2600.840	10.720	Greenbow Alabama	Jenny's grandma's trailer	Jenny's grandma's trailer	ext	0	day
2611.560	7.200	Vietnam	rain-swept camp	rain-swept camp	ext	0	night
2618.760	41.560	Vietnam	embattled jungle	embattled embankment	ext	++	day
2660.320	5.800	Vietnam	embattled jungle	embattled embankment	ext	0	day
2666.120	1.720	Vietnam	embattled jungle	embattled embankment	ext	0	day
2667.840	1.360	Vietnam	embattled jungle	embattled embankment	ext	0	day
2669.200	1.400	Vietnam	embattled jungle	embattled embankment	ext	0	day
2670.600	8.120	Vietnam	embattled jungle	embattled embankment	ext	0	day
2678.720	2.320	Vietnam	embattled jungle	embattled embankment	ext	0	day
2681.040	3.800	Vietnam	embattled jungle	embattled embankment	ext	0	day
2684.840	1.800	Vietnam	embattled jungle	embattled embankment	ext	0	day
2686.640	0.800	Vietnam	embattled jungle	embattled embankment	ext	0	day
2687.440	1.560	Vietnam	embattled jungle	embattled embankment	ext	0	day
2689.000	2.160	Vietnam	embattled jungle	embattled embankment	ext	0	day
2691.160	1.480	Vietnam	embattled jungle	embattled embankment	ext	0	day
2692.640	0.960	Vietnam	embattled jungle	embattled embankment	ext	0	day
2693.600	6.000	Vietnam	embattled jungle	embattled embankment	ext	0	day
2699.600	1.680	Vietnam	embattled jungle	embattled embankment	ext	0	day
2701.280	1.160	Vietnam	embattled jungle	embattled embankment	ext	0	day
2702.440	0.840	Vietnam	embattled jungle	embattled embankment	ext	0	day
2703.280	1.160	Vietnam	embattled jungle	embattled embankment	ext	0	day
2704.440	1.760	Vietnam	embattled jungle	embattled embankment	ext	0	day
2706.200	0.680	Vietnam	embattled jungle	embattled embankment	ext	0	day
2706.880	1.440	Vietnam	embattled jungle	embattled embankment	ext	0	day
2708.320	0.800	Vietnam	embattled jungle	embattled embankment	ext	0	day
2709.120	1.600	Vietnam	embattled jungle	embattled embankment	ext	0	day
2710.720	1.440	Vietnam	embattled jungle	embattled embankment	ext	0	day
2712.160	3.120	Vietnam	embattled jungle	embattled embankment	ext	0	day
2715.280	7.720	Vietnam	embattled jungle	embattled embankment	ext	0	day
2723.000	3.920	Vietnam	embattled jungle	in the embattled jungle	ext	0	day
2726.920	8.240	Vietnam	embattled jungle	in the embattled jungle	ext	0	day
2735.160	8.840	Vietnam	embattled jungle	in the embattled jungle	ext	0	day
2744.000	17.760	Vietnam	embattled jungle	in front of embattled jungle	ext	0	day
2761.760	4.800	Vietnam	embattled jungle	in the embattled jungle	ext	0	day
2766.560	13.920	Vietnam	embattled jungle	finding place of Tex	ext	0	day
2780.480	1.800	Vietnam	embattled jungle	finding place of Tex	ext	0	day
2782.280	1.080	Vietnam	embattled jungle	finding place of Tex	ext	0	day
2783.360	6.120	Vietnam	embattled jungle	finding place of Tex	ext	0	day
2789.480	1.720	Vietnam	embattled jungle	finding place of Tex	ext	0	day
2791.200	6.440	Vietnam	embattled jungle	in the embattled jungle	ext	0	day
2797.640	10.800	Vietnam	embattled jungle	glade at river	ext	+	day
2808.440	4.320	Vietnam	embattled jungle	in the embattled jungle	ext	+	day
2812.760	5.480	Vietnam	embattled jungle	glade at river	ext	+	day
2818.240	2.880	Vietnam	embattled jungle	finding place of Dallas	ext	+	day
2821.120	2.160	Vietnam	embattled jungle	glade at river	ext	+	day
2823.280	2.920	Vietnam	embattled jungle	glade at river	ext	0	day
2826.200	4.720	Vietnam	embattled jungle	in the embattled jungle	ext	+	day
2830.920	25.320	Vietnam	embattled jungle	finding place of Dan	ext	0	day
2856.240	9.160	Vietnam	embattled jungle	finding place of Dan	ext	0	day
2865.400	6.200	Vietnam	embattled jungle	glade in embattled jungle	ext	+	day
2871.600	4.640	Vietnam	embattled jungle	glade in embattled jungle	ext	0	day
2876.240	1.680	Vietnam	embattled jungle	glade in embattled jungle	ext	0	day
2877.920	3.320	Vietnam	embattled jungle	glade in embattled jungle	ext	0	day
2881.240	2.680	Vietnam	embattled jungle	in the embattled jungle	ext	+	day
2883.920	5.120	Vietnam	embattled jungle	in the embattled jungle	ext	0	day
2889.040	7.200	Vietnam	embattled jungle	in front of embattled jungle	ext	0	day
2896.240	4.840	Vietnam	embattled jungle	glade at river	ext	0	day
2901.080	7.120	Vietnam	embattled jungle	glade at river	ext	0	day
2908.200	6.040	Vietnam	embattled jungle	glade at river	ext	0	day
2914.240	7.280	Vietnam	embattled jungle	in the embattled jungle	ext	+	day
2921.520	8.400	Vietnam	embattled jungle	finding place of Bubba	ext	0	day
2929.920	8.200	Vietnam	embattled jungle	finding place of Bubba	ext	0	day
2938.120	1.840	Vietnam	embattled jungle	finding place of Bubba	ext	0	day
2939.960	25.080	Vietnam	embattled jungle	finding place of Bubba	ext	0	day
2965.040	5.440	Vietnam	embattled jungle	in the embattled jungle	ext	+	day
2970.480	6.240	Vietnam	embattled jungle	in the embattled jungle	ext	0	day
